ARGUMENT PATH	CLASSIFIED SENTIMENT VALUE
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con01a-point.txt	0.917504
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con01b-counter.txt	0.34017200000000003
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con02a-point.txt	0.761798
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con02b-counter.txt	0.608766
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con03a-point.txt	0.15294799999999997
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/con/con03b-counter.txt	0.246749
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro01a-point.txt	0.666534
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro01b-counter.txt	0.804234
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro02a-point.txt	0.718203
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro02b-counter.txt	0.580701
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro03a-point.txt	0.38515900000000003
data/corpus-counterarguments-18/02-extracted-arguments/training/culture/media-politics-voting-house-believes-film-stars-music-stars-and-other-popular/pro/pro03b-counter.txt	0.611384
