ARGUMENT PATH	CLASSIFIED SENTIMENT VALUE
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con01a-point.txt	0.19429200000000002
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con01b-counter.txt	0.163369
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con02a-point.txt	0.45686800000000005
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con02b-counter.txt	0.713708
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con03a-point.txt	0.205005
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/con/con03b-counter.txt	0.327778
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro01a-point.txt	0.204113
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro01b-counter.txt	0.06644300000000003
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro02a-point.txt	0.714949
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro02b-counter.txt	0.44734700000000005
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro03a-point.txt	0.522684
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro03b-counter.txt	0.54183
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro04a-point.txt	0.12226199999999998
data/corpus-counterarguments-18/02-extracted-arguments/training/law/law-general-punishment-corporal-punishment-adult-offenders/pro/pro04b-counter.txt	0.534907
