x,y,stance,file_path
23.76736,-216.93192,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
284.5767,135.87209,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
303.26923,222.0394,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-220.99931,243.05017,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
144.60835,-208.01723,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-1.7910802,-100.418564,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-60.273922,-368.1245,PRO,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-65.75289,-213.38889,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
172.84616,166.75633,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-139.22594,-80.3044,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-149.98291,198.36385,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
-55.678772,-463.98456,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
13.632811,53.589924,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
118.08457,-91.70533,CON,culture-general-politics-defence-house-would-exempt-celebrities-national-service
