x,y,stance,file_path
-106.57472,240.82063,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
153.39122,464.18237,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
-18.827774,31.440132,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
164.59981,91.29372,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
275.17477,-98.72223,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
-339.48795,-370.44998,PRO,culture-general-traditions-law-international-law-house-would-treat-desecration
-212.3622,423.84796,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
-465.17963,-99.79362,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
-197.89006,-52.515038,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
319.46326,156.98802,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
534.2177,-37.379086,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
-189.92464,-417.22174,CON,culture-general-traditions-law-international-law-house-would-treat-desecration
