x,y,stance,file_path
47.11532,25.829441,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
92.7115,52.116684,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
73.916595,6.878811,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
69.92265,-24.039488,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
203.19519,67.69114,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
169.38461,2.0366285,PRO,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
9.464644,7.8197293,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
216.419,39.17993,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
35.92569,-49.300106,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
108.11494,-5.8051133,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
169.07558,39.10027,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
177.30318,-24.98339,CON,media-politics-voting-house-believes-film-stars-music-stars-and-other-popular
