x,y,stance,file_path
-59.68051,-175.70274,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
93.94904,-141.79341,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
327.0696,-100.88943,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
277.90213,103.68209,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-299.20514,-168.49658,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-92.1071,231.41666,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
109.34793,226.39328,PRO,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-288.2758,30.193338,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
124.799866,-51.83443,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
382.836,-175.10094,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-201.5795,256.2393,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-215.14346,-76.60862,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
-167.28534,19.818888,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
106.66172,126.900185,CON,media-gender-sport-sport-general-house-would-force-media-display-promote-and
