x,y,stance,file_path
93.2156,-50.924484,PRO,television-human-rights-house-would-ban-beauty-contests
139.46454,-121.318405,PRO,television-human-rights-house-would-ban-beauty-contests
51.41092,-243.02904,PRO,television-human-rights-house-would-ban-beauty-contests
55.51928,-152.42773,PRO,television-human-rights-house-would-ban-beauty-contests
-178.2218,-29.736515,PRO,television-human-rights-house-would-ban-beauty-contests
71.66703,49.314667,PRO,television-human-rights-house-would-ban-beauty-contests
376.60843,-174.9308,CON,television-human-rights-house-would-ban-beauty-contests
354.77866,-239.94984,CON,television-human-rights-house-would-ban-beauty-contests
39.78905,-339.7752,CON,television-human-rights-house-would-ban-beauty-contests
-15.072777,-79.59946,CON,television-human-rights-house-would-ban-beauty-contests
-90.98194,8.84351,CON,television-human-rights-house-would-ban-beauty-contests
181.05756,61.262287,CON,television-human-rights-house-would-ban-beauty-contests
