x,y,stance,file_path
-6.24791,-59.911167,PRO,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
116.79261,52.360985,PRO,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
-105.78348,-112.90752,PRO,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
-127.58351,43.761795,PRO,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
110.60738,160.48198,PRO,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
115.90823,-53.573795,CON,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
60.0986,17.101976,CON,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
-170.57826,-136.56328,CON,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
-140.525,105.26148,CON,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
34.541042,104.986664,CON,media-americas-politics-voting-obama-vs-romney-does-campaign-finance-united
